author_name
Alessandro Sperduti
Monika Rauch Henzinger
Prem Melville
Russell Greiner
Jon Curtis
Doina Precup
Hector Geffner
Pierre Marquis
Ryutaro Ichise
Suresh Manandhar
Armagan Tarim
Christine Clark
Carmel Domshlak
R. P. S. O'Donoghue
Thomas J. Graser
Steffen Staab
Franz Baader
Terence Schauenberg
Hector J. Levesque
Nicola Leone
Alexander Bochman
Jan Van den Bussche
Abhaya C. Nayak
Delbert D. Bailey
Huan Liu
Sepandar D. Kamvar
Magda Valls
Phokion G. Kolaitis
Edmund H. Durfee
Manuela M. Veloso
David A. Cohen
Chris Gearhart
Wei Fan
Carlos Gershenson
Satanjeev Banerjee
Geoffrey J. Gordon
Frederico Luiz Gonçalves de Freitas
Sylvie Thiébaux
Petri Myllymäki
Matthias Fichtner
Yorick Wilks
Joelle Pineau
Jin Huang
Stacy Marsella
Carlos Areces
Peter Haddawy
Mary Berna
Mehdi Dastani
Shaw-Hwa Lo
Axel Großmann
Guilherme Bittencourt
Moshe Y. Vardi
Eyal Amir
Jim McFadden
Alon Y. Halevy
Dorian Suc
Jesse S. Jin
Dan Klein
Kathleen R. McKeown
Frédéric Dehais
Chuck P. Lam
Reid G. Simmons
Wolfgang Faber
Ian Miguel
Xiangen Hu
Cèsar Fernández
Krzysztof Gajos
Jisun Park
William C. Regli
Frank Pfenning
Joo-Hwee Lim
Alvaro del Val
Corin R. Anderson
Alan M. Frisch
J. Andrew Bagnell
Franciska de Jong
Javier Larrosa
Michael Walsh
Michael Witbrock
Adnan Darwiche
Barbara J. Grosz
José del R. Millán
Chiaki Sakama
Jicheng Zhao
Michel C. A. Klein
Xiaomeng Wu
Heather Pon-Barry
Adrian Petcu
Magnus Ågren
Sheila A. McIlraith
Vincent Vidal
Teresa Maria Altomare Basile
Avi Pfeffer
Ashish Sabharwal
Moshe Tennenholtz
Salvador Mandujano
John Thangarajah
Jan Kuper
Kari Torkkola
Vincent Labatut
Lev Finkelstein
Ken Barker
Elizabeth Owen Bratt
Takehisa Yairi
David V. Pynadath
Miroslaw Truszczynski
Subbarao Kambhampati
Jia-Huai You
Peter van Beek
Stefano Lodi
Emil Weydert
Dirk Schulz
Shier Ju
Craig A. Knoblock
Andrei Legtchenko
Carsten Lutz
Paul M. Newman
