author_name
Claudia Hess
John O'Donovan
Fábio Gagliardi Cozman
Linda Peelen
G. Praveen
Dan Yang
Bernadette Martínez Hernández
Kwong-Sak Leung
Stuart N. K. Watt
Kenji Shoji
Chee K. Wong
Russell Greiner
Doina Precup
Vishwajeet Singh
Pierre Marquis
Yuehua Xu
Cristiano Castelfranchi
Madalina Croitoru
Laszlo Szathmary
Doug Downey
Mohan Sridharan
Aakanksha Gagrani
Nicolas Baskiotis
Carlos Ansótegui
Donald Metzler
Eugene C. Freuder
Christopher Amato
Daniel J. Lizotte
Franz Baader
Jan Struyf
Hector J. Levesque
Kiyoshi Izumi
Michael D. Moffitt
Michael E. Samples
Renu Kurien Bostwick
Abhaya C. Nayak
Xiangyu Duan
Michael Esser
Murray Patterson
Talal Rahwan
Guy Shani
Huan Liu
Christopher L. Barrett
Maurizio Lenzerini
Jean Lieber
Andreas Krause
Adrian Kaehler
Manuela M. Veloso
Mehran Asadi
Andreas Wendemuth
Changshui Zhang
Andrew M. Lovett
Alberto Finzi
Yee Whye Teh
Wenhui Liao
Raúl Rojas
Young-In Shin
Madhav V. Marathe
Pavithra Babu
Stephen Soderland
Hujun Bao
Jeffrey Junfeng Pan
Joshua Goodman
Conor Hayes
Sylvie Thiébaux
Morteza Dehghani
Sabyasachi Saha
Saroj Kaushik
Jia Li
Qiang Ji
Yorick Wilks
Pierre Le Maigat
Hans Tompits
Jonathan P. Pearce
Hong-Bin Dai
Dan Roth
Krishna P. Miyapuram
Xiaohua Zhou
Jin Huang
Don Poldermans
Tarik Hadzic
Dirk Walther
M. C. Nataraja
Richard Edwin Stearns
Lane A. Hemaspaandra
Shin-ichi Minato
Maria Luisa Bonet
Facundo Bromberg
Jianqiang Shen
Ilgaz Sungur
M. Syamala Devi
Shigeki Sagayama
Lucy Vanderwende
Vítor Santos Costa
Rayid Ghani
Elsa D. Angelini
Pedro Meseguer
Sven Seuken
Rajiv T. Maheswaran
Michael S. Ryoo
Eyal Amir
Wei Liu
David Lawless
Senjian An
Sabri Bayoudh
Daniele Theseider Dupré
Svetha Venkatesh
Craig A. Tovey
Jorge Jambeiro Filho
Michael P. Wellman
Roni Khardon
Reinaldo A. C. Bianchi
Irfan A. Essa
A. E. Eiben
Klaus Brinker
Georgios Chalkiadakis
Wolfgang Faber
Ian Miguel
David Guthrie
Sanjiang Li
Nico von Hoyningen-Huene
Yilan Gu
Donald S. Fussell
