author_name
Federico Fogolari
Luís Moniz Pereira
Alessandro Sperduti
Alex Krimkevitch
Robert A. Kowalski
S. Armagan Tarim
Prem Melville
Amitabha Mukerjee
Luísa Coheur
Moritz Göbelbecker
Shaoping Ma
Masaru Kitsuregawa
Eduardo F. Morales
Zhi Qiang Zhuang
Hector Geffner
Pierre Marquis
Hans Georg Seedig
Cristiano Castelfranchi
Heng Tao Shen
Dongho Kim
Ji Wang
Deepayan Chakrabarti
Makram Bouzid
James Pita
Fei Tony Liu
Pascal Bercher
Christopher Amato
Elsa Lopes
Albert S. Huang
Giovanni Casini
Maria Garcia de la Banda
Hector J. Levesque
Daniele Magazzeni
Kuiyu Chang
Nir Lipovetzky
Guy Shani
Talal Rahwan
Ofra Amir
Keith Sullivan
Zhenming Liu
Jean Lieber
Serena Villata
Jason Andrew Wolfe
Grigorios Tsoumakas
Andreas Krause
Matthijs T. J. Spaan
Saeed Amizadeh
Manuela M. Veloso
Changshui Zhang
David B. Leake
Marc Hanheide
Olivier Pietquin
Johannes Fürnkranz
Nozomi Nori
Francesc Esteva
Wen-Lian Hsu
Stephen Soderland
Xiaohua Liu
Conor Hayes
Matthias Westphal
François Pachet
Frances A. Rosamond
Hossein Shahbazi
Liyun Ru
Martin Field
Andrés Legarra
Conrad Drescher
Pingzhong Tang
Jintao Tang
Baylor Wetzel
Dan Roth
Mohsen Jamali
Henry Anaya-Sánchez
Laura M. Hiatt
Michael Thielscher
Junfa Liu
Kennard R. Laviers
Han The Anh
Xiaoping Chen
Enrique Machuca
Chang Wang
Sylvain Lagrue
Mehdi Dastani
Armen Aghasaryan
Xu-Yao Zhang
Gildas Jeantet
Pedro Meseguer
Eyal Amir
Jie Yin
Nils Bulling
Barteld P. Kooi
Marco Roveri
Gerald Steinbauer
Richard Dearden
Xiaochuan Ni
Lutz Schröder
Sanjay Modgil
Reinaldo A. C. Bianchi
Scott E. Friedman
Artur S. d'Avila Garcez
Harry Halpin
Sergio Escalera
Ian Miguel
Luis C. Cobo
Hao Jiang
Vincent Ng
José Martínez Sotoca
Kilho Shin
Xiaojing Huang
Julien Cojan
Ioannis Caragiannis
Rajesh P. N. Rao
Noam Hazon
Justin Yip
Wolfgang Dvorák
Laura Giordano
Julien Velcin
Ayumu Sugiyama
Jaesik Choi
Alexander Kleiner
Scott R. Klemmer
Pedro Larrañaga
HweeHwa Pang
Egor Ianovski
Nicolas Usunier
Evgenij Thorstensen
Christophe Senot
Shane Bergsma
Jens Kober
Adnan Darwiche
Anh Tran
Xiuyi Fan
Petar Iliev
Chiaki Sakama
Stephen P. Ellner
Seungjin Choi
Andrei Tchaltsev
Ranjitha Kumar
Alexandra Goultiaeva
Chengqi Zhang
Martin Hoefer
Senthilkumar Chandramohan
Kerstin Wendt
Enrico Malizia
Sheila A. McIlraith
Weiwu Hu
Arpit Khurdiya
Svetlana Obraztsova
Rosaria Conte
Fredrick H. M. Semazzi
Paul E. Dunne
Dale Schuurmans
Ruijiang Li
Avi Pfeffer
Pascal Poupart
Tomoharu Iwata
Haifeng Liu
Muhammad Arshad Ul Abedin
Matthieu Geist
John Thangarajah
Zhongzhi Shi
Jérôme Picault
Arpita Ghosh
Angelo Oddi
Jun Gao
Sébastien Picault
Brent E. Harrison
Nils Y. Hammerla
Gerhard J. Woeginger
Maria Silvia Pini
Longbing Cao
Yuejie Zhang
Mikolaj Podlaszewski
Dijun Luo
Kalliopi Kravari
Daniel M. Roy
Jianping Fan
Makoto Kitaki
Dengji Zhao
Jiafeng Guo
Emad A. M. Andrews
Patricia Gutierrez
Angelo Fanelli
Eleftherios Spyromitros Xioufis
Wenjie Li
Julien Rossit
Xueqi Cheng
Paul R. Cohen
Peter van Beek
Thomas Geier
Guido Boella
Yuan Jiang
Leting Wu
Nadja Betzler
Umberto Straccia
Glauber De Bona
Giuseppe Carenini
Erhan Öztop
David Toman
Mausam
Pierre Genevès
Yves Lespérance
Derek Hao Hu
Yangqiu Song
Alan Schmitt
Carsten Lutz
Xiaojin Zhu
Paul M. Newman
Markus Brill
Yong Yu
Nick Hawes
Henning Schnoor
Victor Lavrenko
Javier Morales
Agostino Dovier
Wesley Kerr
Wannes Meert
Benjamin Recht
Mark T. Keane
Dario Pacino
Joanna Bryson
Karthik Sridharan
Joshua B. Tenenbaum
Yevgeny Kazakov
Francisco C. Santos
Tomas Lööw
Hsiang-Fu Yu
Logan Brooks
Simeon Visser
Fillia Makedon
Kumiko Tanaka-Ishii
Mehdi Kaytoue
Akshat Kumar
Dan Claudiu Ciresan
Purnamrita Sarkar
Zhao Lu
Ching-Yung Lin
Michael J. Wooldridge
João Marques-Silva
Wenye Li
Kevin Regan
Frank Neumann
Lise Getoor
Lin Padgham
Daniel Golovin
Hong-Jie Dai
Francis Chi-Moon Lau
Lei Li
Luigi Palopoli
Sam Blasiak
Ronald Parr
Chaoyi Wang
Dongyun Yi
Paulo Gomes
Bart Selman
Edith Hemaspaandra
Andrew Trusty
Stefano Ermon
Farokh B. Bastani
Ling-Yu Duan
Jonathan Ezekiel
Sandor M. Veres
Jonathan Masci
Nicolas Schwind
Héctor Muñoz-Avila
Charles F. K. Siu
Simina Brânzei
Haris Aziz
Robby Goetschalckx
Xiaoming Jin
Jesse Hoey
Gianluigi Greco
Sriraam Natarajan
Claude-Guy Quimper
David McSherry
Zhengzhang Chen
Tom Schaul
Tyrel Russell
Prasenjit Mitra
Zheng Yang
Nima Taghipour
Nicola Olivetti
Son Thanh To
Pascal Van Hentenryck
Shie Mannor
Eleanor Birrell
K. S. Venkatesh
Jian-Tao Sun
Derek Long
Kai Zhao
Jörg Hoffmann
Cho-Jui Hsieh
Markus Wagner
Shinji Watanabe
John-Jules Ch. Meyer
John K. Lai
Cheng-Lin Liu
Yang Yu
Yi Wu
Andrew Duchi
Richard G. Gibson
Nabil Layaïda
Qin Lu
Ioannis P. Vlahavas
Hélène Fargier
Marc Esteva
Taisuke Sato
Emprise Y. K. Chan
Dacheng Tao
Yunji Chen
Zhihua Zhang
Ke Xu
Sergei O. Kuznetsov
Suiping Zhou
Jun Matsuno
Minh Nhut Nguyen
Vipin Kumar
Isabelle Stanton
Bin Wu
Yen-Ling Kuo
Oren Etzioni
Jie Chen
Víctor Ponce-López
Shenghui Wang
Peter Jonsson
Andrey Kolobov
Katia P. Sycara
Richard John
Maarika Teose
Ashutosh Saxena
Andrew M. Finch
Víctor Sánchez-Anguix
Ko Fujimura
Alok N. Choudhary
Trevor Scott Standley
Jimmy Ho-Man Lee
Margareta Ackerman
Lan Yu
Saurabh Kataria
Tiansi Dong
Fahiem Bacchus
Quang-Thang Dinh
Noam Slonim
Zbigniew Stachniak
Siyu Xia
Tyler Lu
Daisuke Hatano
Qiang Yang
José Miguel Hernández-Lobato
Koby Crammer
Allen Van Gelder
Ismael Pascual-Nieto
Florentin Wörgötter
Tobias Friedrich
Bin Cao
Dimitrios Antos
Gerhard Lakemeyer
Ruggiero Cavallo
Estefania Argente
Levente Molnar
Vadim Bulitko
Levan Uridia
Shlomo Zilberstein
Meng Chang
Marcelo Finger
Malcolm Slaney
Scott Sanner
Jeffrey Richard Long
Vikas Kedia
Laurent Simon
David M. Pennock
Rino Falcone
Patrick Krümpelmann
Grigoris Antoniou
Sergio Pajares
Ximing Wen
Giuseppe De Giacomo
Peter Nightingale
Dimitre Kostadinov
Jérôme Lang
Enrico Franconi
Geoffrey Chu
Zhaoyi Zhang
J. Christopher Beck
Yasin Abbasi-Yadkori
Luis Enrique Sucar
Leslie Pack Kaelbling
Jean-François Baget
Thomas Schiex
Matthew D. Luciw
Jerry O. Talton
Hongwei Jin
Benjamin Rozenfeld
Carlos Guestrin
Alex Roper
Mingjie Liu
Sook-Ling Chua
Marie-Laure Mugnier
Anwitaman Datta
Saket Joshi
Xiaorui Sun
Shai Shalev-Shwartz
Dimitrios Mavroeidis
Takayuki Mouri
Jin Tang
Wei Bian
Alexa Breuing
Nadeschda Nikitina
Stephen F. Smith
Yong Wang
Vittorio A. Ziparo
Antonino Rotolo
Mathijs de Weerdt
Maurice Pagnucco
Girish Chafle
William Groves
Sindhu V. Raghavan
Rong Yang
Jeffrey Chan
Tracy Hammond
Enric Celaya
Satomi Baba
Miguel Á. Carreira-Perpiñán
Michaël Thomazo
Zhifeng Hao
Songshan Guo
Hua Wang
Pei Yue
Suchi Saria
Richong Zhang
Ingo Glöckner
Zhaoyin Jia
Reinhold Scherer
Osamu Watanabe
Sergio Esparcia
Zhiyong Shen
Jianxin Wu
Stephanie Valentine
Magdalena Ortiz
Tomoe Kitahara
Grant E. Weddell
Hong Zhang
Piotr Faliszewski
Hongxun Yao
Stephen Marsland
Valentin Goranko
Amin Haji Abolhassani
Benjamin M. Marlin
Cynthia Fisher
Raghudeep Gadde
