author_name
Karim Tabia
Lars Kunze
Sarah Parinussa
Rattanachai Ramaithitima
Keigo Kimura
Siyuan Liu
Ilya V. Otpuschennikov
Vojtech Franc
Yi Jiang
Pierre Marquis
Madalina Croitoru
Alexander Feldman
Simo Dragicevic
Bram Aerts
Chiara Di Francescomarino
Frederic T. Stahl
Masafumi Kubota
Ramon Fraga Pereira
Toru Nakada
Pascal Bercher
Franz Baader
Hannes Strass
Giovanni Casini
Peter McBurney
Nan Li
Wolfgang Ertel
Christian Komusiewicz
Laura Sebastia
Daniele Magazzeni
Michal Radecký
Abhaya C. Nayak
Chiara Ghidini
Julien Lesca
Ana Ozaki
Talal Rahwan
Chengzhuan Yang
Claudio Coppola
Zhe Zhao
Matthijs T. J. Spaan
Manuela M. Veloso
Radu Marinescu
Mohamed Ahmed Sherif
David B. Leake
Mohamed Hachimi
Nattiya Kanhabua
Yakun Wang
Junping Zhang
Yuan Yao
Hongming Shan
Jay Young
Xiang An Liu
Aldy Gunawan
Carmine Ventre
Tao Liu
Sylvie Thiébaux
Dan Halbersberg
Jean-Marie Lagniez
Ramya Srinivasan
Ioannis Efstathiou
P. Thiaudiere
Virginia Dignum
Shirin Sohrabi
Daniel Höller
Damien Lejeune
Julie Porteous
Michael Thielscher
Fei Huang
Peter Haddawy
Riccardo De Masellis
Mehdi Dastani
Fabrizio Riguzzi
Wei Liu
Oliver Schaudt
Nils Bulling
Toon Goedemé
Svetan M. Ratchev
Muhammad Azam Zia
Sanjay Modgil
Maarten Marx
Artur S. d'Avila Garcez
Georgios Chalkiadakis
Yiannis Gatsoulis
Wolfgang Faber
Daniel Le Berre
Sanjiang Li
Ariel Rosenfeld
Víctor Suárez-Paniagua
Peng Zhang
Ricardo de Aldama
Meelis Kull
Jakob Huber
Matjaz Gams
Jae Hee Lee
Xicheng Lu
Matthew Saltz
Jun Chen
Minh Do
Teena Hassan
Pedro Larrañaga
Alexandre Plastino
Zhiguo Long
Oleg Zaikin
Janneke M. van der Zwaan
Mustafa Al-Bakri
Javier Larrosa
Soufiane Drissi Oudghiri
Wei Wu
Jun Liu
Xiuyi Fan
Markus Schneider
Erkin Çilden
Siqi Chen
Nicola Bombieri
Trevor J. M. Bench-Capon
Hendrik Molter
Michelle L. Blom
Yang Liu
Philipp Cimiano
Stéphane Ferrari
Vijay Kumar
Dominik Lang
Carles Sierra
Jan Joris Roessingh
Siyuan Liu
Nawal Benabbou
John Thangarajah
Salvatore Gaglio
Sascha Kurz
Sébastien Picault
Rafael H. Bordini
Enrico Scala
Yuejie Zhang
Nahla Ben Amor
Xiaodong Li
Christoph Schwering
Jacek Mandziuk
Christer Bäckström
Abdelraouf Hecham
Yanbing Xue
Andrea Bartolini
Filippo Bistaffa
Marija Slavkovik
Qian Yu
Daming Shi
Mahmood Hammoodi
Víctor Gutiérrez-Basulto
Gleb Polevoy
Lorenz Bühmann
Yves Lespérance
Nadia Creignou
Junjie Wu
Nick Hawes
Henning Schnoor
Yong Cheng
Masaki Yasutake
Ramanuja Simha
Andrew James Dowell
Oktie Hassanzadeh
Delphine Longuet
Federico Chesani
Hua Jiang
Thomas Linsbichler
Francisco C. Santos
Jens-Uwe Garbas
Jason Blum
Zhaopeng Meng
Pinar Yolum
Manuele Bicego
Christopher Hampson
Romain Caillière
Ricardo Gonçalves
Lakhdar Sais
João Marques-Silva
Raïda Ktari
Michael J. Wooldridge
Churn-Jung Liau
Marc van Zee
Lin Padgham
Xiaoyong Du
Pietro Cottone
Johan de Kleer
Thomas Christopher King
Marc Cavazza
Mineichi Kudo
Fernando P. Santos
Edith Hemaspaandra
Tânia Marques
Petr Gajdos
Filippo Furfaro
Jieting Luo
Abdallah Arioua
Zhidong Deng
Hui He
Guyue Zhang
Torsten Schaub
Haris Aziz
Lijun Zhang
Emre Savas
Yusuke Koie
Charles Lesire
Vania G. Dimitrova
Christoph Beierle
Mateus Riva
Peter A. Flach
