author_name,Gender,Gender Probability
Fei Wu,male,1.0
Guangda Huzhang,male,1.0
Yunfei Niu,male,0.71
Hongbo Fu,male,0.84
Francesco Ricca,male,1.0
Luiz Chaimowicz,male,1.0
Yilin Shen,female,0.95
Han Liu,male,0.62
Cecilia Mascolo,female,1.0
Ke Tang,male,0.84
Tsu-Ching Hsiao,unknown,0.0
Yolanda E-Martín,female,0.99
Heng Tao Shen,male,0.84
Guillaume Infantes,male,1.0
Yang Li,female,0.63
Mohan Sridharan,male,0.99
Bin Liu,male,0.95
Yue Hu,female,0.67
Shaoting Zhang,female,0.54
Yuchen Zhou,male,0.53
Donald Metzler,male,1.0
Zhishan Guo,female,0.55
Pascal Bercher,male,0.99
Quanxue Gao,female,0.87
Kunpeng Zhang,male,0.98
Brian Hsi-Lin Ho,male,1.0
Manqing Dong,female,0.91
Yuetan Lin,male,1.0
Bo Yang,female,0.5
Victor R. Lesser,male,1.0
Guy Shani,male,1.0
Haiyang Wu,male,0.88
Jiawei He,male,0.75
Grigorios Tsoumakas,male,1.0
Yanyan Lan,female,0.82
Xiaopeng Li,male,0.88
Phokion G. Kolaitis,unknown,0.0
Guangzhong Sun,male,1.0
Jianjun Ge,male,0.95
Baocai Yin,male,1.0
Ningning Jia,female,0.87
Zheyuan Ryan Shi,male,0.92
Dawn Song,female,1.0
Kai Liu,male,0.91
Shiva Prasad Kasiviswanathan,male,0.78
Young Lee,male,0.83
Yong Qin,male,0.6
Jie Li,female,0.86
Lei Shu,female,0.53
Lei Song,male,1.0
Yury Maximov,male,0.61
Yunpu Ma,male,0.67
Jianbin Tang,male,0.96
Li He,female,1.0
Tiejian Luo,male,1.0
Michael Thielscher,male,1.0
Hongchang Shan,male,1.0
Chen Qian,male,0.81
Pengzhen Ren,male,1.0
Qingyao Wu,female,0.57
Zhou Cheng,male,1.0
Teppo Mikael Niinimäki,male,0.99
Yuhao Yi,male,0.95
Salomé Eriksson,female,0.98
Meghyn Bienvenu,female,1.0
Jian Zhao,male,0.86
Jing Yang,male,0.97
Sanjay Modgil,male,0.99
Jing Tang,male,0.67
Shu Xiang,female,0.67
Ariel Rosenfeld,male,0.83
Brian Charles Williams,male,1.0
Ian Miguel,male,1.0
Richa Singh,female,0.57
Mengdan Zhang,female,0.93
Seung-won Hwang,male,0.94
Denis Deratani Mauá,male,0.94
Max Schröder,male,0.99
Pengfei Xu,male,1.0
Lefei Zhang,female,0.62
Ljupco Kocarev,male,0.98
Haoyi Xiong,male,0.67
Yunwei Zhao,male,0.53
Jian Yang,male,1.0
Aishi Li,female,0.89
Yingtao Tian,male,0.62
Pengfei Jiao,male,0.95
Minhao Cheng,male,0.98
Joakim Gustafson,male,1.0
Shijie Li,male,0.81
Atsunori Kanemura,male,1.0
Satoshi Yagi,male,1.0
Yingke Chen,female,0.5
Hongchang Gao,male,1.0
Hong Shi,female,0.5
Yuichi Yoshida,male,0.99
Wangsu Hu,male,1.0
Dale Schuurmans,male,0.93
Yuqing Ma,female,0.82
Jirí Svancara,male,0.97
Tomoharu Iwata,male,1.0
Stephen Kelly,male,1.0
Ruining He,female,0.71
Shun Zhang,female,1.0
Longbing Cao,male,1.0
Hang Ma,female,0.83
Kurt Keutzer,male,1.0
Guoqing Jin,male,0.97
Nicolas Szczepanski,male,1.0
Nanyun Peng,female,1.0
Zijun Deng,male,0.88
Ali Mert Ertugrul,male,0.98
Shin'ichi Satoh,male,1.0
Zhe Li,male,1.0
Rica Gonen,female,0.88
Mario Schmautz,male,0.99
Jie Zhang,male,0.52
Antonella Guzzo,female,0.99
Stephan Gocht,male,1.0
Wanjie Sun,male,0.58
Wei Zhang,male,1.0
Feng-Lin Li,unknown,0.0
Wolfgang Minker,male,1.0
Haotian Cui,male,0.93
Hao Wu,male,1.0
Yun Xiao,female,0.5
Jonathan P. Rowe,male,1.0
Mausam,male,0.79
Yves Lespérance,male,0.98
Charlie Ann Page,male,0.85
Xinghao Ding,male,1.0
Ling Shao,female,0.81
Yuying Li,female,0.93
Nadia Creignou,female,0.99
Markus Brill,male,1.0
Bistra Dilkina,female,0.97
Shenghuo Zhu,male,0.75
Nan Li,female,1.0
Dusan Knop,male,1.0
Thomas Linsbichler,male,1.0
Peng Yang,male,1.0
Daniel S. Yeung,male,0.99
Yue Pang,female,0.67
Yao Zhao,male,0.9
Yanfang Ye,female,0.97
Steven James,male,1.0
Jaegul Choo,male,1.0
Zhenxin Fu,male,0.78
Naren Ramakrishnan,male,0.97
Yuanjie Zheng,male,0.65
Beatrice Rossi,female,0.99
Xing Hu,male,0.59
Yalin Wang,male,0.78
Yifan Yang,male,0.56
Haiyan Yin,female,0.92
Xin Zhao,male,0.8
Yinan Li,female,0.54
Stefano Ermon,male,1.0
Christophe Lecoutre,male,1.0
Zhouxia Wang,female,1.0
Hui Guo,female,0.88
Zhou Zhao,male,0.6
Zhengdong Lu,male,1.0
Xiaoming Jin,male,0.79
Gianluigi Greco,male,1.0
Zan Wang,male,0.71
Theresa Csar,female,1.0
Tiezhu Sun,male,0.87
Min Liu,male,0.56
Nisarg Shah,male,1.0
Ruiping Li,female,0.59
Zied Bouraoui,male,0.98
Jan Maly,male,0.89
Chongxuan Li,male,0.67
Giacomo Boracchi,male,1.0
Cho-Jui Hsieh,unknown,0.0
Manuel Cebrián,male,0.99
Felix Leibfried,male,0.99
Jing Wang,female,0.78
Joydeep Biswas,male,0.98
Yingzi Ou,female,0.91
Andrew Sutton,male,1.0
Jiyi Li,female,0.54
Yuyu Huang,female,0.64
Sanjoy Dey,male,1.0
Nimrod Talmon,male,0.99
Francesco Corcoglioniti,male,1.0
John F. Canny,male,1.0
Vijay Keswani,male,0.99
Wenzhong Li,male,0.98
Wei Zhang,male,1.0
David Hallac,male,1.0
Yijun Huang,female,0.54
Hanwang Zhang,male,1.0
Tansel Uras,male,0.87
Cynthia Matuszek,female,1.0
Ke Song,male,0.84
Feng Tian,male,1.0
Zhihui Jin,male,0.55
Tiago Mota,male,1.0
Susan Ostmo,female,1.0
Qiang Yang,male,1.0
Sanjit A. Seshia,male,0.98
Hady W. Lauw,male,0.88
Guodong Long,male,0.98
Paula Daniela Chocron,female,0.99
Christian Bessiere,male,0.99
Huchuan Lu,unknown,0.0
Thao Le Minh,female,0.8
Xiaoyu Du,female,0.69
David M. Pennock,male,1.0
Michael G. Madden,male,1.0
Elliot Salisbury,male,0.98
Jun Suzuki,male,0.85
J. Peter Campbell,male,1.0
Haoli Bai,female,0.59
Arjun Guha,male,0.98
Jakob Nordström,male,1.0
Son Tran,male,0.7
Songlei Jian,male,0.86
Ying Ding,female,0.88
Bradley Oosterveld,male,1.0
Yongxin Wang,male,0.59
Hao Peng,male,0.75
Octavian Udrea,male,1.0
Jie Hu,male,0.52
Leslie Pack Kaelbling,female,0.83
Xia Zheng,male,1.0
Chenhui Zhang,male,0.73
Ruoyu Li,male,0.52
Wanli Ouyang,male,0.71
Jordi Grau-Moya,male,0.99
Li Sun,female,1.0
David Yun Dai,male,1.0
Cheng Deng,male,0.63
Pierfrancesco Veltri,male,1.0
