author_name
Kagan Tumer
Alessandro Sperduti
Russell Greiner
John Yen
Pierre Marquis
Carmel Domshlak
Sarit Kraus
Franz Baader
Nicola Leone
Delbert D. Bailey
Jacob Goldberger
Alexander Maedche
Yuko Sakurai
Maurizio Lenzerini
John K. Slaney
Phokion G. Kolaitis
Manuela M. Veloso
Xizhao Wang
Alberto Finzi
Alexandre Riazanov
Brian C. Williams
Francesc Esteva
Yorick Wilks
Hans Tompits
Michael I. Jordan
David C. Parkes
Dan Roth
Philippe Mulhem
Charles Elkan
Isabella Poggi
Eyal Amir
Marco Roveri
Hiroaki Kitano
Daniele Theseider Dupré
Michael P. Wellman
Daniel Le Berre
Wolfgang Faber
Raymond Reiter
Frédérick Garçia
Louise Travé-Massuyès
Satoshi Oyama
Enrico Giunchiglia
Alvaro del Val
Corin R. Anderson
Alan M. Frisch
Adnan Darwiche
Brian Milch
Yannic S. Tognetti
Joost N. Kok
Xiaoqin Zeng
Emmanuel Guere
Sheila A. McIlraith
Dale Schuurmans
Avi Pfeffer
Moshe Tennenholtz
Eduardo F. Morales
Joseph Sill
Linda C. van der Gaag
Witold Lukaszewicz
Simon Tong
Marc Downie
Teresa Escobet
Wilhelm Rödder
Tim D. Barfoot
Subbarao Kambhampati
Jia-Huai You
Richard Washington
Wolfgang Wahlster
Yuan Jiang
Arunava Banerjee
Marco Pistore
Cyril Terrioux
Giuseppe Carenini
Shigeo Matsubara
Carsten Lutz
Henrik Grosskreutz
Joseph Y. Halpern
Abdel-Illah Mouaddib
Joanna Bryson
Thierry Poibeau
Christopher G. Healey
Daniel S. Yeung
Jacek Jarmulak
Chitta Baral
Mark Abramson
Costas Tsatsoulis
Ramana Isukapalli
Raymond J. Mooney
Naren Ramakrishnan
Bikramjit Banerjee
Ronald Parr
Bart Selman
Yasuhiko Kitamura
Héctor Muñoz-Avila
Olivier Buffet
Tad Hogg
Leen-Kiat Soh
Robert A. Morris
Lynn Andrea Stein
Anna Goy
David McSherry
Hiroshi Mizoguchi
Benjamin W. Wah
Benjamin Kuipers
Silvia Coradeschi
