author_name
Zdenek Zdráhal
Nicholas V. Findler
Heiko Schreiber
Fulvio Cascio
Andrew Hunter
Roberto Garatti
Xavier Guérandel
Michael Schroeder
Jean Lieber
John K. Slaney
Patrick Sturt
Grigorios Tsoumakas
Wolfgang Menzel
Padraig Cunningham
Conor Hayes
Sylvie Thiébaux
Svetla Boytcheva
Claudio P. Tagliola
Hannah Harris
Klaus Fischer
Nuno Seco
Amparo Alonso-Betanzos
Pedro Meseguer
Suzanne Pinson
David Lawless
Paolo Liberatore
Sylvie Pesty
Louise Travé-Massuyès
Alessandra Roncaglioni
Alexander Felfernig
Javier Larrosa
Cristina Paz-Andrade
Sari Tewfik
Ioannis Korres
Tadeusz Pankowski
Carles Sierra
John Thangarajah
Salvatore Gaglio
Linda C. van der Gaag
Salvatore Vitabile
Witold Lukaszewicz
Peter Kokol
Markus Meyer
Ahlem Ben Hassine
José Manuel Gutiérrez
Jacek Mandziuk
Bertrand Braunschweig
Paul Harrenstein
Ioannis Hatzilygeroudis
Paul W. H. Chung
Kerstin Bücher
Shamimabi Paurobally
Mugur M. Tatar
Jan Smulders
Pinata Winoto
Alain Bidault
Aditya Ghose
Gerhard Widmer
Andreas Seyfang
Botond Szatmáry
Benjamin Habegger
Massimiliano Pontil
Chris van Aart
Nick K. Taylor
João Marques-Silva
Lin Padgham
Nathalie Richard
Paulo Gomes
Olivier Buffet
Eveline M. Helsper
José Luís Ferreira
Wilken Schuetz
Marco Grimaldi
Anna Goy
Hans L. Bodlaender
Patricia Charlton
David McSherry
Dietmar Jannach
Martin Hutle
Derek Long
Jörg Hoffmann
John-Jules Ch. Meyer
Ioannis P. Vlahavas
Patrick Clerkin
Marco Gavanelli
Josep Roure Alcobé
Hans-Hellmut Nagel
Johannes Matiasek
Ognian Kalaydjiev
Rosario Sorbello
Preslav Nakov
Nicola Fanizzi
Diego Mollá Aliod
Mohamed Quafafou
Christine Froidevaux
Andrea Passerini
Frank van den Eijkhof
Catherine Faron
Celina Maki Takemura
Paolo Frasconi
Michael Winikoff
Murray Shanahan
Silvia Miksch
Paulo E. Santos
Marcelo Finger
Pere Garcia
Grigoris Antoniou
Olivier Simonin
José Cristóbal Riquelme Santos
Vili Podgorelec
Michael Hess
Jacques Ferber
Rajkumar Roy
Fabio Massimo Zanzotto
Souhila Kaci
François Charpillet
George Rallidis
Yves Moinard
Liliana Ardissono
Jim Cunningham
Thomas Kirste
Efstathios Stamatatos
Pieter W. Adriaans
Johannes Geiselmann
Francesca A. Lisi
Roman Barták
András Lörincz
James S. Aitken
Pavlos Moraitis
Thomas Bittner
Wolfgang Mayer
Michel Dojat
Tiffany Ya Tang
Philippe Caillou
Louis Hugues
Savina Andonova
Antonio Chella
Peter J. F. Lucas
Galia Angelova
Carine Webber
Emilio Benfenati
Christian Popow
Silja Renooij
François Goasdoué
Susana Muñiz
Martin Dzbor
Paulo Carreiro
Leila Amgoud
Brigitte Safar
C. Sordo
Marco Alberti
Frank Schönherr
Paulo Paiva
Paolo Mazzatorta
Miquel Sànchez-Marrè
Markus Zanker
Davide Bogni
Elena Hernández-Pereira
Arnaud Berny
Olivier de Mouzon
Wiebe van der Hoek
Daniel Borrajo
James Anderson
Piergiorgio Bertoli
Franz Wotawa
Gilles Venturini
Markus Stumptner
Stefania Bandini
Theodoros Evgeniou
Carlos Bento
Enver Sangineto
Fernando Fernández
Henri Prade
Ahmed K. Elmagarmid
Oscar Fontenla-Romero
Sara Passone
Claudia Picardi
Sylviane Gentil
Sabato Marco Siniscalchi
Michel Page
Derek R. Magee
Ansaf Salleb
Pierre Nugues
Ralf Gerber
Vincenzo Lombardo
Herbert Jaeger
Martin Pollet
Christophe Dousson
Harald Trost
Eyke Hüllermeier
Rosanna Bray
Bálint Takács
André Elisseeff
Frans Coenen
Andrzej Szalas
Marcello Frixione
Maria Fasli
Minghua He
Rolf Schwitter
Jean-Luc Gouzé
Frank van Harmelen
Roberto Basili
Michael Michalakopoulos
Maria Teresa Pazienza
Bertha Guijarro-Berdiñas
Toby Walsh
Giovanna Petrone
Ian P. Gent
Dnyanesh G. Rajpathak
Georg Gottlob
Alexander Boer
Evelina Lamma
Catherine Garbay
Marco Baroni
Sylvie Cauvin
Céline Hernandez
Carmelo Del Valle
Christel Vrain
Jérôme Chapelle
Enrico Motta
Maria Inmaculada Paz-Andrade
Nicolas Monmarché
Marie-Christine Rousset
Bruno Heim
Gerhard Friedrich
Fabrizio Costa
James Dowdall
Alessandro Cimatti
Luca Console
Bernd Rehfus
Alfonso Gerevini
Hidde de Jong
Barnabás Póczos
Lu Zhang
Ivan Rozman
Michael Arens
Martí Sánchez-Fibla
John Bell
Alexandre Delteil
Serge Boverie
Antonio S. Cofiño
Sabine Moisan
Sara Manzoni
Philippe Dague
Joaquim Comas
Rafal Mikolajczak
Didier Dubois
Inês Lynce
Nicholas R. Jennings
Alessandro Micarelli
Christian Cortes
Antonio Garrido
Albena Strupchanska
Massih-Reza Amini
Manfred Kerber
Fabio Rinaldi
Werner Horn
José T. Palma
Dominique Longin
Mateja Jamnik
Michael Knorr
Francisco C. Pereira
Barry Smyth
Eun Gyung Kim
Jose Luis Legido
Andreas Herzig
Niels Peek
Ignasi R.-Roda
Rinke Hoekstra
Michael Daum
Gianfranco Lamperti
Stefano Ferilli
Christian Vallée
Viet Dung Dang
Ralph Schäfer
Martijn L. van Aartrijk
Peter Struss
Julian Eggert
Bernd Ludwig
Ruurd Pels
Alessandro Moschitti
Maria Fox
Juan Canda
Walid G. Aref
Hoong Chuin Lau
Zahir Maazouzi
Roberto Marcondes Cesar Junior
R. Cano
Ulrike Sattler
Cees Witteveen
Yanguo Jing
Chris Reed
Jim Prentzas
David Bonnefoy
Nicolas Balacheff
Eulogio Jimenez
Samir Aknine
Patricia Anthony
Stefan Trausan-Matu
Alexis Drogoul
Ciprian-Daniel Neagu
Bruno Zanuttini
Radboud Winkels
David C. Hogg
Jakob Mauss
Salem Benferhat
Joachim Hertzberg
Ralf Schweimeier
Manel Poch
Jaume Agustí-Cullell
Samir Chopra
Bertrand Neveu
Renata Wassermann
Vahid Nassehi
Patrick Prosser
Giovanni Soda
Patrick Doherty
Nicolas Maudet
Nicolas Labroche
Simon Parsons
Paul H. Leng
Thomas Heider
Khaled Ghédira
Roque Marín
Marco Anelli
Kris Van Marcke
Bernhard Nebel
Nikos I. Karacapilidis
Vincent Maya
Marina Zanella
Ulises Cortés
Keith E. Brown
Giuseppina C. Gini
Aphrodite Galata
Thomas Andreas Meyer
Dominique Dutoit
Josefina Sierra-Santibáñez
Mark Ryan
Edgar Körner
Nicolas Lhuillier
Anthony G. Cohn
Yuyue Song
Dominik Wieland
Mikhail J. Atallah
Régis Sabbadin
Subrata Das
Nicolas Prcovic
Christos Berberidis
Paul Cotter
Artur Ottlik
Jordi Sabater
Hans-Werner Kelbassa
Alain Dutech
Istvan Szita
Ian Horrocks
Patrick Gallinari
David Millet
Jesús S. Aguilar-Ruiz
