author_name
David Lorenzo
Fábio Gagliardi Cozman
Luís Moniz Pereira
Stefan Schulz
Alessandro Sperduti
Adam Szarowicz
Paolo Terenziani
Pierre Marquis
Guillaume Infantes
Steffen Staab
Suvi Kettula
Kristian Nilssen
Eugene C. Freuder
Djamal Habet
Sebastian Brandt
Laura Sebastia
Willem Jan van Hoeve
Chiara Ghidini
Gilberto Shigueo Nakamiti
Ibrahim El-Amin
Grigorios Tsoumakas
Narjes Khézami
John K. Slaney
Antoaneta Serguieva
Alberto Finzi
Brian C. Williams
María del Carmen Vargas-González
Ehud Reiter
Sylvie Thiébaux
Lionel Martin
Meirav Hadad
Martino Celeghini
Oskar Dressler
Yorick Wilks
Henri Binsztok
James Hood
Michael Thielscher
Jan Breeman
Nuno Seco
Luigi Iannone
Fabrizio Riguzzi
Guilherme Bittencourt
Pedro Meseguer
Ankush Mittal
Glorianna Davenport
Paolo Remagnino
Georgios Paliouras
Artur S. d'Avila Garcez
Klaus Brinker
Sylvie Pesty
Ian Miguel
Stefan Mersmann
Frédérick Garçia
Guang Dai
Luís Morgado
Trung Dong Huynh
Rosa Maria Vicari
Petko Valtchev
Juan Miguel Ortiz-de-Lazcano-Lobato
Alan M. Frisch
Javier Larrosa
Ian Davy
Josué Pereira de Castro
Jussi T. Lindgren
Adnan Darwiche
Antonio Bahamonde
Joost N. Kok
Mehmet Giritli
Jicheng Zhao
Somayajulu Sripada
Stephen Cresswell
Tsz-Chiu Au
Nuno J. Mamede
Ruud Kuipers
Philipp Cimiano
Paul E. Dunne
Amy Loutfi
Teresa Maria Altomare Basile
Laurence White
Carles Sierra
Frédéric Fürst
Lawrence Mandow
Fan Wang
M. C. Kwan
Angelo Oddi
Alexander Nareyek
Ben Hachey
Linda C. van der Gaag
Frederick Feith
Olga Kornienko
Ville Kotovirta
Daniel Kayser
Csaba Szepesvári
Guido Boella
Lucas Paletta
Younès Bennani
Stefano Lodi
Cyril Terrioux
Antonio Morales
Maarten Grachten
Isabelle Alvarez
Carsten Lutz
Abdul Ghafoor Abbasi
Joseph Aguilar-Martin
Rose Dieng-Kuntz
Alain Bidault
Aditya Ghose
Mark T. Keane
Gerhard Widmer
Steve Kertes
Eetu Mäkelä
Chitta Baral
Hiroki Suguri
Helder Coelho
Katerina Pastra
Colva M. Roney-Dougal
Amol Dattatraya Mali
Kim Viljanen
Lakhdar Sais
Michael J. Wooldridge
Clare Dixon
Emmanuel Arbaretier
Ian Blacoe
Manuel Ojeda-Aciego
Keith Halsey
Carlos Viegas Damásio
Luigi Palopoli
Murali-Krishna Achari
Rajdeep K. Dash
Niek Bergboer
Edoardo Pignotti
Christophe Lecoutre
Fred Hemery
Paul Shotbolt
Stefan Schlobach
Sylvie Coste-Marquis
Eveline M. Helsper
Gianluigi Greco
Jaime Shinsuke Ide
Matthias Klusch
Sonia Bergamaschi
Dietmar Jannach
Juan-Antonio Fernández-Madrigal
Silvia Coradeschi
Fariba Sadri
Rasa Jurgelenaite
Anika Schumann
Ricardo Luís de Freitas
Ivan Serina
Alke Martens
Derek Long
David Sarne
Fabrizio Angiulli
Gianluca Torta
Norman Y. Foo
Rónán Mac Ruairi
Pietro Baroni
Claire Grover
John-Jules Ch. Meyer
Yannick Toussaint
Myriam Lamolle
Ioannis P. Vlahavas
Tristan Cazenave
Cathy Escazut
Hussain N. Al-Duwaish
Peter Edwards
Marc Esteva
Fabio Gasparetti
Taisuke Sato
Josep Roure Alcobé
Juan Miguel Vilar
Paolo Mancarella
Slobodan Vucetic
Dermot Lynott
Hans-Hellmut Nagel
Soledad Valero
Ilkka Autio
Noël Laverny
Nicola Fanizzi
Ullrich Hustadt
Juha Hemánus
Franco Raimondi
Paolo Dongilli
Fahiem Bacchus
Christine Froidevaux
Cesar Augusto Tacla
Michel Leclère
Yair B. Weinberger
Yuliya Babovich-Lierler
Catherine Pelachaud
Michel Vasquez
Christian Bessiere
Murray Shanahan
Tania Di Mascio
Silvia Miksch
Mario Fernando Montenegro Campos
Paulo E. Santos
Francesco M. Donini
Estefania Argente
Félix Ingrand
Richard Booth
Marco Melis
Christian Köhler
Christin Seifert
Pere Garcia
Alessandro Saetti
Marina Mongiello
Peter Nightingale
Yi Jin
Tony Kanakis
Jérôme Lang
Enrico Franconi
J. Christopher Beck
Filippo Portera
Juan A. Botía
Jaime Alonso
Eylem Koca
Héctor Núñez
Nicola Di Mauro
Jose Manuel Serra
Yves Moinard
Thomas Lukasiewicz
Rania El Baida
Philippe De Maeyer
Catherine Faron-Zucker
Sébastien Vérel
Hironori Tomobe
Stephen F. Smith
Massimiliano Giacomin
Agustín Valverde
Augusto Q. Novais
Laurent Simon
Roberto Micalizio
Maurice Pagnucco
Jeroen Moelands
Alison Pease
Maria Asunción Castaño
Enric Celaya
Alexander Nittka
Margaret Hamilton
Arttu Valo
Mahat Khelfallah
Andréa I. Tavares
Avelino Corma
Thierry Artières
Michael P. O'Mahony
Thomas Bittner
Dov M. Gabbay
Núria Agell
Siegfried Nijssen
Dilermando Piva Jr.
Wolfgang Mayer
Jerusa Marchi
Heikki Hyötyniemi
Frédéric Boussemart
Richard J. Wallace
Simon M. Garrett
Michel Dojat
Philippe Adjiman
José Coch
Christoph Tempich
Daniel Köb
Philippe Caillou
Adriana Postal
Rada Mihalcea
Floris Roelofsen
Annette ten Teije
Ivan José Varzinczak
Maarten de Rijke
Josep Lluís Arcos
José M. Juárez
Yannick Pencolé
Giorgio Maria Di Nunzio
Gérard Ligozat
Sergio Barrachina
Gerhard Brewka
Jeremy Forth
Kenneth N. Brown
Francesco Scarcello
Dietmar Janetzko
Peter J. F. Lucas
Francisco Casacuberta
Gilles Énée
Enrique Vidal
Yutaka Matsuo
João F. L. Alcântara
Jochen Renz
Philippe Chatalic
Alexandra M. Coddington
Mark Leenaarts
Neil J. Hurley
Bob J. Wielinga
Simon Colton
Maurice Coyle
Thomas Walker
François Goasdoué
Martin Sachenbacher
Kornél Kovács
Gemma Casas-Garriga
Amedeo Napoli
Quoc Bao Vo
Eero Hyvönen
Samir Otmane
Richard Johansson
Guenole C. M. Silvestre
Alessio Lomuscio
Yuntao Qian
Ilkka Karanta
Benoit Morisset
Belaid Benhamou
Luis Rodríguez
Andrew G. D. Rowley
Hong Chen
Bình Vu Trân
Josenildo Costa da Silva
Teresa Solchaga
Jesús Tomás
Miquel Sànchez-Marrè
Riccardo Rasconi
Nick Bassiliades
Amedeo Cesta
Jussi Markkanen
Neng-Fa Zhou
Heshaam Feili
Catholijn M. Jonker
David Williams
Angel P. del Pobil
Robert Demolombe
Nic Wilson
Daniel Borrajo
Carlos Miguel Tobar
James Harland
Changsheng Shao
Xiaowei Shao
Piergiorgio Bertoli
Franz Wotawa
Tomi Janhunen
Gilles Venturini
Francesco Bellomi
Farid Nouioua
Rachid Alami
Markus Stumptner
Emerson Cabrera Paraiso
Martin Magnusson
Changan Zhao
Christoph F. Eick
Leendert W. N. van der Torre
Marco Pennacchiotti
Nathanael Hyafil
Tariq M. Khan
Philippe Jégou
Marco Botta
Ignazio Palmisano
Christopher Jefferson
Udo Hahn
Stephen E. Levinson
Andrew Lim
Georgios Sigletos
Madalina M. Drugan
Mirva Salminen
Claudia Picardi
Ian Miller
Jesús Medina
Andreas Flache
Rainer Deventer
Gustavo A. Casañ
Kostas Stathis
Derek R. Magee
Olivier Corby
Zaheer Abbas Khan
Eva Onaindia
Brandon Bennett
Oscar Luaces
Pierre Nugues
M. Teresa Escrig
Luca Iocchi
Andreas Auer
Honghai Liu
Vincenzo Lombardo
Daniele Miselli
Seppo Laukkanen
Ali Al-Faraj
Paolo Traverso
Nico Van de Weghe
Jeffrey S. Rosenschein
Eyke Hüllermeier
Simona Colucci
Tommaso Di Noia
Helena Sofia Pinto
Rachel Ben-Eliyahu-Zohary
Eliseo Marzal
Piero A. Bonatti
Adelinde M. Uhrmacher
Takis Stamapoulos
Valentina Tamma
Stefania Montani
Evelyn Balfe
Andrzej Szalas
Fabien Gravot
Juan José del Coz
Wing-Kin Sung
Dana S. Nau
Frank van Harmelen
Elan Pavlov
Jan Treur
Tibor Bosse
Sergio Tessaris
Vuokko Lantz
Christian M. Ohler
Carlos Iván Chesñevar
Javier Gonzalez
Michael Kentrop
Venkata Praveen Guddeti
Steven Shapiro
Matteo Cristani
Victor Jauregui
Maja Milicic
Maria Teresa Pazienza
Manuel Campos
Toby Walsh
Daniel Kudenko
Guy Camilleri
Malik Mallem
Matjaz Kukar
Eugenio Di Sciascio
Paul Levi
Ian P. Gent
Sergey Kornienko
Ana Gabriela Maguitman
Neophytos Demetriou
Lorenza Saitta
Perukrishnen Vytelingum
Arnold Maestre
Nigel R. Shadbolt
Luigi Sauro
Djamel Merad
Mathieu Estratat
Evelina Lamma
Jordi Delgado
Fernando Lopes
Paolo Torroni
Patrick Zanon
Laurent Péret
José Miguel López-Rubio
Hubie Chen
Christel Vrain
A. H. Mantawy
Antonio Fernandez Gómez-Skarmeta
Vangelis Karkaletsis
Hermann Kaindl
Manuel Samuelides
James Little
Gerald Fritz
Fausto Giunchiglia
Dimitris Souflis
Georgios Petasis
Marie-Christine Rousset
Arshad Ali
Gerhard Friedrich
Ruei-Sung Lin
Kang Peng
Horst Bischof
Alessandro Mazzei
Alessandro Cimatti
Antony Galton
Luca Console
Taner Bilgiç
Frédéric Alexandre
Alfonso Gerevini
Frédéric Koriche
Mohammed Attik
Martí Sánchez-Fibla
Manuel Clergue
Luís C. Lamb
Michela Milano
Yoshitaka Kameya
Francky Trichet
Jorge González
Hiroki Nomiya
Giuseppe Santucci
Constantine D. Spyropoulos
Zhou Xu
