author_name
Derek G. Bridge
Konrad Rawlik
Ka Man Lei
Guillaume Infantes
Mohan Sridharan
Kunpeng Zhang
Peter McBurney
Victor R. Lesser
Xiangyu Duan
Paul Scott
Phokion G. Kolaitis
David A. Cohen
Matthias Westphal
Wangsheng Zhang
Hai Zhuge
Klaus Berberich
Moritz Tenorth
Chang Wang
Mehdi Dastani
Teppo Mikael Niinimäki
Lukás Chrpa
Meghyn Bienvenu
Enrico Costanza
Sanjay Modgil
Brian Charles Williams
Nuria Oliver
Yangdong Ye
Satoshi Oyama
Denis Deratani Mauá
Alexander Felfernig
Minlue Wang
Wei Wu
Cheng Zhu
Aniruddha Bhargava
Wenji Mao
Yue Shi
Hans van Ditmarsch
Yuichi Yoshida
Levi H. S. Lelis
Longbing Cao
Gerhard J. Woeginger
Yuejie Zhang
Benjamin Zarrieß
Juan A. Rodríguez-Aguilar
Pierre Bourhis
Paul Harrenstein
Sean Brennan
Haili Dong
Wei Zhang
Chun Chen
Yves Lespérance
Mo Chen
Ling Shao
Nadia Creignou
Joshua B. Tenenbaum
Stuart Moran
Ching-Yung Lin
Pengtao Xie
Marc Cavazza
Eric Horvitz
Olivier Buffet
Sheng Li
Xiaoming Jin
Gianluigi Greco
Ramasuri Narayanam
Xiaojie Li
Jianfeng Lu
Sophie Martin
Samuel Nicol
Wei Feng
Luis Fariñas del Cerro
Nisarg Shah
Tom Schaul
Noam Peled
Hélène Fargier
Carlos A. Henríquez Q.
Zhihua Zhang
Takayuki Ito
Hiroki Yanagisawa
Mathijs Michiel de Weerdt
Naveen Sundar Govindarajulu
Xiaona Ren
Yong-Deok Kim
Marco Franchini
Mark Voortman
Maxime Latulippe
Christian Bessiere
Xinyuan Cai
Denis Cornaz
Ke Zhang
Ximing Wen
Masaaki Nagata
James McInerney
Biao Liu
Lior Rokach
Faruk Polat
Weixiong Zhang
Thomas Lukasiewicz
Joaquín Adiego
Andrea G. B. Tettamanzi
Shu-Jun Yang
Rong Yang
Guohui Xiao
Jianxin Wu
Joseph Keshet
Yalong Bai
Juhong Xu
Diane E. Kitchin
Monika Schubert
Malte Helmert
Barry Hurley
Mikolás Janota
Ryan P. Adams
Jianping Shi
Brian Logan
Shirui Pan
Stefano Alvisi
Zhiqiang Sui
Julien Hué
Alexander Reinefeld
Li Chen
Guang Ling
Xiaochun Cao
Ping Luo
Qiang Yang
Xuetao Ding
Pradeep Ravikumar
Malek Mouhoub
Ronan LeBras
Alice Miller
Alessio Lomuscio
Stanislav Zivný
Weidong Yang
Fang Kong
James T. Kwok
Yang Liu
José Luis Ambite
Wei Gao
Bo Yang
Jiangfeng Qu
Yali Wang
Stephen H. Muggleton
Hang Li
Mike Shann
Wu-Jun Li
Liang Du
John Licato
Kate Larson
Moshe Bitan
Fazlul Hasan Siddiqui
Frank Wolter
Zili Zhang
Thomas Ågotnes
Valentin Robu
Chenxia Wu
Kazuhiro Seki
Ju Fan
Radim Belohlávek
Martin Slota
Despoina Magka
Cristian Molinaro
Birte Glimm
Yiu-ming Cheung
Jure Zabkar
Partha Pratim Chakrabarti
Linas Baltrunas
Guangyou Zhou
Luc De Raedt
Enrique Romero
Deming Zhai
Paul R. Schrater
Jon M. Kleinberg
Zhen Wen
Roni Stern
Zheng Chen
Frédéric Flouvat
Yao Hu
Yuri Malitsky
Ming Zhou
Dana S. Nau
Frank Hutter
Torsten Schaub
Katsutoshi Hirayama
Jian-Huang Lai
Roman Kontchakov
Samantha Kleinberg
Alberto Suárez
Thorsten Schütt
Andrea Moro
Konstantinos Blekas
Benjamin Moseley
Nazha Selmaoui-Folcher
Rajeev Alur
Jonathan May
Ario Santoso
Martin Neil
Karl Tuyls
Jie Zhang
Vikas Joshi
Yang Bao
João Leite
Tingting Li
Heng Huang
John G. Stell
Lizhu Zhou
Martine De Cock
Lars Otten
Ho-fung Leung
Frédéric Koriche
Takayuki Katsuki
Daniel A. Spielman
Yilin Cai
Yi-Dong Shen
Chris H. Q. Ding
Florian Pommerening
Jérémy Sanhes
Sophie Pinchinat
Jussi Rintanen
Yuexian Hou
Marina Danilevsky
Ivan Bratko
Thomas Quaritsch
Sergio Flesca
Hau Chan
Boris Motik
Haoruo Peng
Natasha Alechina
Martijn de Jongh
Julien Filion
Bing Liu
Jin-Kao Hao
Dileep Kini
Simon Vernhes
Lydia Tlilane
Hui Fang
David B. Smith
Xuegang Hu
Giorgio Corani
Nando de Freitas
Yoram Bachrach
Dave de Jonge
Alessandro Moschitti
Arjen Hommersom
Horst Samulowitz
Zhigang Ma
Fang Liu
Cees Witteveen
Bettina Fazzinga
Shuigeng Zhou
Nathalie Casati
Johannes Kulick
Cong Yu
Irina Trubitsyna
Bruno Zanuttini
Tim Rawling
Tomasz P. Michalak
Wenliang Chen
Umair Z. Ahmed
André Platzer
Lara Quijano Sánchez
Rina Dechter
Tom Heskes
Ariel D. Procaccia
Silvia Richter
Thomas Eiter
Erez Karpas
Prasanna Gowda
Phani Divakaruni
Johannes Peter Wallner
Feiping Nie
Shiliang Sun
Eyal Soreq
Serge Gaspers
Panagiotis Kouvaros
Yang Xia
Ashish Kapoor
Zhiyuan Chen
Neil Yorke-Smith
Lucie Galand
Jun Zhu
Tomas Klos
Chengqing Zong
Mahesh Viswanathan
Nikolaos Tziortziotis
Junguo Zhu
Xin Li
Jiawei Han
Ian Davidson
Bertrand Mazure
Huzefa Rangwala
Hengameh Irandoust
Nathan R. Sturtevant
Xin Sui
Manuel Lopes
Reinhard Lafrenz
Reinhard Pichler
Jun Li
Richard E. Korf
Tie-Yan Liu
Geoff V. Merrett
Ziqiang Shi
Li Liu
Diego Calvanese
Kenji Kawaguchi
Hankz Hankui Zhuo
Jérôme Monnot
Lluís Formiga
Heng Li Xu
Alex Francois-Nienaber
Sam Ganzfried
Jiemi Zhang
Steffen Bickel
Sarit Kraus
Diedrich Wolter
Alessandro Sperduti
Yi Lu
Khaled Bachour
Fangkai Yang
Eric Anyung Shieh
Nadjib Lazaar
Peifeng Yin
Christopher Amato
Chunyu Kit
Chi Wang
Hector J. Levesque
Keith Sullivan
Suming Jeremiah Chen
Jean Lieber
Oliver Parson
Fei Wang
Wei Shen
Jie Wang
Belén Díaz-Agudo
Jean-Marie Lagniez
Ahmed ElMolla
Irwin King
Julie Porteous
Jiaya Jia
Jin Huang
Lane A. Hemaspaandra
Xiaoping Chen
Juan Antonio Recio-García
Sven Seuken
Moshe Y. Vardi
Wei Liu
Alon Y. Halevy
Laura Wynter
Sanjiang Li
Yizhong Liang
Mahito Sugiyama
Ricardo de Aldama
Michael Codish
Jae Hee Lee
R. Bruce van Dover
Mohamed Elsayed Hussein
Bo Xu
Adnan Darwiche
Mingjie Qian
Zuoguan Wang
Katsuhiko Ishiguro
Gang Pan
Ulrich Schaechtle
Alessandro Artale
