author_name,Gender,Gender Probability
David Lorenzo,male,1.0
Fábio Gagliardi Cozman,male,1.0
Luís Moniz Pereira,male,1.0
Stefan Schulz,male,0.99
Alessandro Sperduti,male,1.0
Adam Szarowicz,male,0.98
Paolo Terenziani,male,1.0
Pierre Marquis,male,0.99
Guillaume Infantes,male,1.0
Steffen Staab,male,1.0
Suvi Kettula,female,0.98
Kristian Nilssen,male,0.97
Eugene C. Freuder,male,0.99
Djamal Habet,male,0.98
Sebastian Brandt,male,1.0
Laura Sebastia,female,0.99
Willem Jan van Hoeve,male,0.89
Chiara Ghidini,female,1.0
Gilberto Shigueo Nakamiti,male,1.0
Ibrahim El-Amin,male,0.98
Grigorios Tsoumakas,male,1.0
Narjes Khézami,female,0.97
John K. Slaney,male,1.0
Antoaneta Serguieva,female,0.98
Alberto Finzi,male,1.0
Brian C. Williams,male,1.0
María del Carmen Vargas-González,female,0.99
Ehud Reiter,male,1.0
Sylvie Thiébaux,female,0.99
Lionel Martin,male,1.0
Meirav Hadad,female,1.0
Martino Celeghini,male,0.99
Oskar Dressler,male,0.99
Yorick Wilks,male,1.0
Henri Binsztok,male,0.98
James Hood,male,1.0
Michael Thielscher,male,1.0
Jan Breeman,male,0.89
Nuno Seco,male,1.0
Luigi Iannone,male,0.99
Fabrizio Riguzzi,male,1.0
Guilherme Bittencourt,male,1.0
Pedro Meseguer,male,0.99
Ankush Mittal,male,1.0
Glorianna Davenport,female,1.0
Paolo Remagnino,male,1.0
Georgios Paliouras,male,1.0
Artur S. d'Avila Garcez,male,1.0
Klaus Brinker,male,0.99
Sylvie Pesty,female,0.99
Ian Miguel,male,1.0
Stefan Mersmann,male,0.99
Frédérick Garçia,male,0.99
Guang Dai,male,0.9
Luís Morgado,male,1.0
Trung Dong Huynh,male,0.99
Rosa Maria Vicari,female,0.99
Petko Valtchev,male,0.98
Juan Miguel Ortiz-de-Lazcano-Lobato,male,0.99
Alan M. Frisch,male,1.0
Javier Larrosa,male,1.0
Ian Davy,male,1.0
Josué Pereira de Castro,male,0.99
Jussi T. Lindgren,male,0.98
Adnan Darwiche,male,0.99
Antonio Bahamonde,male,0.99
Joost N. Kok,male,0.99
Mehmet Giritli,male,0.99
Jicheng Zhao,male,0.91
Somayajulu Sripada,male,1.0
Stephen Cresswell,male,1.0
Tsz-Chiu Au,female,0.54
Nuno J. Mamede,male,1.0
Ruud Kuipers,male,0.99
Philipp Cimiano,male,1.0
Paul E. Dunne,male,1.0
Amy Loutfi,female,0.99
Teresa Maria Altomare Basile,female,0.99
Laurence White,female,0.54
Carles Sierra,male,0.99
Frédéric Fürst,male,1.0
Lawrence Mandow,male,0.99
Fan Wang,male,1.0
M. C. Kwan,male,0.59
Angelo Oddi,male,0.99
Alexander Nareyek,male,1.0
Ben Hachey,male,0.98
Linda C. van der Gaag,female,0.99
Frederick Feith,male,1.0
Olga Kornienko,female,0.99
Ville Kotovirta,male,0.99
Daniel Kayser,male,0.99
Csaba Szepesvári,male,0.99
Guido Boella,male,1.0
Lucas Paletta,male,0.99
Younès Bennani,male,0.99
Stefano Lodi,male,1.0
Cyril Terrioux,male,0.99
Antonio Morales,male,1.0
Maarten Grachten,male,1.0
Isabelle Alvarez,female,0.99
Carsten Lutz,male,1.0
Abdul Ghafoor Abbasi,male,0.98
Joseph Aguilar-Martin,male,0.99
Rose Dieng-Kuntz,female,0.98
Alain Bidault,male,0.99
Aditya Ghose,male,1.0
Mark T. Keane,male,1.0
Gerhard Widmer,male,1.0
Steve Kertes,male,1.0
Eetu Mäkelä,male,1.0
Chitta Baral,male,0.88
Hiroki Suguri,male,1.0
Helder Coelho,male,1.0
Katerina Pastra,female,0.99
Colva M. Roney-Dougal,male,0.59
Amol Dattatraya Mali,male,0.98
Kim Viljanen,female,0.75
Lakhdar Sais,male,0.98
Michael J. Wooldridge,male,1.0
Clare Dixon,female,0.99
Emmanuel Arbaretier,male,0.99
Ian Blacoe,male,1.0
Manuel Ojeda-Aciego,male,0.99
Keith Halsey,male,1.0
Carlos Viegas Damásio,male,1.0
Luigi Palopoli,male,0.99
Murali-Krishna Achari,unknown,0.0
Rajdeep K. Dash,male,0.85
Niek Bergboer,male,0.97
Edoardo Pignotti,male,1.0
Christophe Lecoutre,male,1.0
Fred Hemery,male,0.98
Paul Shotbolt,male,1.0
Stefan Schlobach,male,0.99
Sylvie Coste-Marquis,female,0.99
Eveline M. Helsper,female,0.99
Gianluigi Greco,male,1.0
Jaime Shinsuke Ide,male,1.0
Matthias Klusch,male,1.0
Sonia Bergamaschi,female,0.99
Dietmar Jannach,male,1.0
Juan-Antonio Fernández-Madrigal,male,0.99
Silvia Coradeschi,female,1.0
Fariba Sadri,female,0.99
Rasa Jurgelenaite,female,0.92
Anika Schumann,female,0.98
Ricardo Luís de Freitas,male,1.0
Ivan Serina,male,0.99
Alke Martens,female,0.71
Derek Long,male,1.0
David Sarne,male,1.0
Fabrizio Angiulli,male,1.0
Gianluca Torta,male,1.0
Norman Y. Foo,male,0.99
Rónán Mac Ruairi,male,1.0
Pietro Baroni,male,1.0
Claire Grover,female,1.0
John-Jules Ch. Meyer,male,0.88
Yannick Toussaint,male,1.0
Myriam Lamolle,female,0.99
Ioannis P. Vlahavas,male,1.0
Tristan Cazenave,male,0.98
Cathy Escazut,female,1.0
Hussain N. Al-Duwaish,male,0.6
Peter Edwards,male,1.0
Marc Esteva,male,1.0
Fabio Gasparetti,male,1.0
Taisuke Sato,male,1.0
Josep Roure Alcobé,male,1.0
Juan Miguel Vilar,male,0.99
Paolo Mancarella,male,1.0
Slobodan Vucetic,male,0.99
Dermot Lynott,male,1.0
Hans-Hellmut Nagel,male,1.0
Soledad Valero,female,0.99
Ilkka Autio,male,1.0
Noël Laverny,male,0.87
Nicola Fanizzi,male,0.81
Ullrich Hustadt,male,0.98
Juha Hemánus,male,0.99
Franco Raimondi,male,0.99
Paolo Dongilli,male,1.0
Fahiem Bacchus,male,0.96
Christine Froidevaux,female,1.0
Cesar Augusto Tacla,male,1.0
Michel Leclère,male,0.94
Yair B. Weinberger,male,0.99
